size,text
1,Helicsa
1,Helikopter Service
1,Helios Airways
1,Helisul Taxi Aéreo
1,Heli-USA Airways
1,"Heli-USA Airways, In- Air Taxi"
1,Heliwork WA Pty Ltd. - Air Taxi
1,Henry Nichols - Air Taxi
1,Henry Webber Air - Air Taxi
1,Heringer Air Taxi
1,Hesler Noble - Air Taxi
1,Hewa Bora Airways
1,Hibiscus Air
1,Himmelsschreiber
1,HiTech Helicopters
1,Hlavka Aviation - Air Taxi
1,Holdens Air Transport Service
1,Holmstoem Air
3,Holyman Airways
1,Homer Air Service - Air Taxi
1,Horizon Properties
1,Hornbill Airways
1,Hoseba
1,Houston Metro Airlines
1,Houston-Beech - Air Taxi
1,Hudgin Air Service
1,Hudson Air Service - Air Taxi
1,Hughes Airwest / Military - US Marine Air Corps
1,Hunter Airways
2,Hunting Air Travel
1,Huron Air
1,Hyannis Air Service - Air Taxi
1,IAI 1124 Westwind
1,IAS Cargo
12,Iberia Airlines
1,Iberia Airlines / Aviaco
1,Ibertrans Aérea
3,Icelandair
22,Imperial Airways
1,Imperial Comm - Air Taxi
1,IMSS
1,Inair Panama
3,Indamer
1,Independent Air Inc.
1,Independent Air Travel
34,Indian Airlines
1,Indian Airlines/Alliance Airlines
2,Indian National Airlines
1,Indian National Airways
1,Indonesian National Police
1,Inex Adria Aviopromet
1,Inex Adria Aviopromet (Yugoslavia)
1,Inex Adria Aviopromet / British Airways
1,Inland Aviation - Air Taxi
1,Inter City Flug
1,Inter Island Air - Air Taxi
1,Inter Island Air Services
1,Interamericana de Aviacion
1,Intercontinental de Aviacion
4,Interflug
1,Interior Airways
1,Interior Airways - Air Taxi
1,Inter-Island
1,International Air Freight
1,International Control Commision
1,International Jet Charter
1,Interocean
1,Interstate Airlines
1,Intracostals - Air Taxi
1,Inuvik Coastal Airways
1,Invicta International Airlines (UK)
6,Iran Air
2,Iran Air Tours
1,Iran Air Tours / Military - Iranian Air Force
1,Iran Asseman Airlines
1,Iran National Airlines
2,Iraqi Airways
2,Island Air
2,Island Airways
1,Island Airways Ltd.
1,Island Express Helicopter Service
1,Island Sky Ferry - Air Taxi
1,Islands Nationair
1,Islands of the Bahamas Inc
4,Itavia
1,Itek Air
1,Ivolga Avia
1,Jack Harter Helicopters
1,Jack N. Boswick - Air Taxi
2,Jamair
1,Jamie Ramirez - Air Taxi
9,Japan Air Lines
1,Japan Air Self-Defence Force
1,Japan Aviation Corporation
8,JAT Yugoslav Airlines
1,Jay Hawk Air - Air Taxi
1,JC Air
1,Jersey Airways
1,Jet Alaska
1,Jet Avia Charter
1,Jet Charter Group
1,Jet Pro
1,Jet Wings
1,Jetcom S.A.
1,Jetcraft
1,Jetstream Inc.
2,Jett Paqueteria SA
1,Jetwingsco Inc. - Private Charter
1,Johnson Flying Service
1,Jordan International Airlines
2,Juba Air Cargo
1,Junction City Fire Department
8,Kalinga Airlines
1,Kalinin
1,Kam Air
2,Kamchatavia
1,Kansas City Southern Skyways
1,Kapowsin Air Sports
2,Karibu Airways
1,Kata Transportation
1,Kauai Helicopter - Air Taxi
1,Kavatshi Airlines
1,Kelowna Flightcraft Air Charter
3,Kenai Air Service - Air Taxi
1,Kenmore Air - Air Taxi
2,Kenn Borek Air
2,Kenya Airways
1,Key West Sea Plane Service - Air Taxi
1,Keystone Air Services Ltd. - Air Taxi
1,Khalatyrka
1,Khors Aircompany
1,Kiev Production Association
1,Kime Flying Service - Air Taxi
1,Kimura International
1,Kinair Cargo
1,King Air Charter
1,Kirghizia Aba Zaoldoru
1,Kisangani Airlift
1,Kish Airlines
1,Kismayo Airlines
1,Kivu Air Services
1,Kiwi West Aviation
1,KLM Cityhopper
33,KLM Royal Dutch Airlines
1,Knight Air
4,KNILM
1,Knowles Flying Service of Detroit
2,Kodiak Airways
1,Kodiak Western Alaska Airlines
1,Komi Avia
1,Kondair
2,Korean Air
10,Korean Airlines
1,Krasnoyarskavia
1,Krasnoyarskie Avialinii
1,Kuban Airlines
1,Kurtzer Flying Service - Taxi
1,Kuwait Airways
1,L & J Company
1,L.J. Simmons - Air Taxi
1,La Costena
1,Lab Flying Service - Air Taxi
1,Labradore Airways
2,LAC Colombia
1,LAC Columbia
1,Lackey Aero Company - Taxi
1,LACOL
1,LACSA
2,LADE
1,Ladeco
1,Lake Central Airlines
1,Lake Havasu Air
1,Lambair
6,LAN
1,LANC Colombia
1,Lancashire Aircraft Corporation (Skyways)
3,Lanica
5,LANSA
2,Lao Aviation
1,Lao Cathay Airlines
1,Laoag International Airlines
1,"LAPA, Lineas Aereas Privadas Argentinas"
2,LARES
1,L'Armée de L'Air
4,Las Vegas Airlines
4,Latecoere Airlines
1,LATI
1,Lauda Air
1,Laurentian Air Services
1,LAV - Linea Aeropostal Venezolana
1,Layman Weikle - Taxi
1,Leadair - Charter
1,Leamon Flying Service
1,Lebanese International Airways
1,Leeward Islands Air Transport
1,Lehigh Acres Development Inc.
1,Les Ailes de Gaspé Inc.
1,Lester C. Bush - Air Taxi
1,Lexington Air Taxi
1,L'Express Airlines
1,Liard Air
1,Libya Arab Airlines
1,Libya Arab Airlines / Military - Libya Air Force
3,Lignes Aeriennes Latecoere
1,Lina Congo
1,Linair Express
15,Linea Aeropostal Venezolana
1,Linea Aérea Mexicana de Carga
1,Linea Aérea Nacional
1,Linea Expresa Bolivar
1,Lineas Aereas
1,Lineas Aereas de Angola
1,Lineas Aereas de Espana/Spantax SA Transportes
1,Lineas Aereas de los Libertadores
1,Lineas Aereas del Caribe
1,Lineas Aereas del Estado
1,Lineas Aereas Mineras
2,Lineas Aereas Nacionales SA (Peru)
1,Lineas Aereas Suramericanas
1,Lineas Aereas Unidas
1,Lineas Areas del Centro
1,Lineas Areas Unidas
1,Lineas Areas Venezolanas
1,Lineas Aéreas Brasil
1,Lineas Aéreas Cave
1,Lineas Aéreas Colombianas
1,Lineas Aéreas Costarricenses
1,Lineas Aéreas Costarricenses LACSA
1,Lineas Aéreas Interpolar
3,Lineas Aéreas La Urraca
1,Lineas Aéreas Mineras
2,Lineas Aéreas Nacionales
1,Lineas Aéreas Sud Americana
1,Lineas Aéreas Suramericanas
1,Lineas Aéreas Trans. Brasileira
5,Linee Aeree Italiane
1,Linjefyg
1,Lion Air
1,Lionair
1,Lisa Jet Inc. - Air Taxi
1,Living Water Teaching Ministries Charter
1,Livingston Helicopter - Air Taxi
9,Lloyd Aereo Boliviano
1,Lloyd Aereo Colombiano
1,Lloyd Aero Boliviano
3,Lloyd Aéreo Boliviano
1,Lockheed AC-130H Hercules
2,Loftleidir IcelandiAirlines
4,Loganair
2,Loide Aereo Nacional
3,Loide Aéreo Nacional
1,Loma Linda University - Air Taxi
1,Lone Star Airlines
2,Los Angeles Airways
12,LOT Polish Airlines
5,Lufthansa
1,Lufthansa Cargo Airlines
1,Lufthansa Cityline
1,Luft-Taxi Emsland
1,Lumbini Airways
1,Luthi Aviation - Air Taxi
1,Luxair
1,Líder Táxi Aéreo
1,Líneas Aéreas Suramericanas
1,Mabuhay Airways
1,Macchi
1,Macon Horizons - Air Taxi
1,Maddux Airlines
1,Maddux Airlines / Military - U.S.Army Air Force
1,Madrid Taxi Aéreo - Charter
1,Magistralnye Avialinii
1,MajestiAir Cargo
2,Malaysia Airlines
1,MALERT
1,Malert Airlines
7,Malev Hungarian Airlines
1,Malindi Air Services
2,Malu Aviation
1,Mamer - Shreck - Air Taxi
1,Manacá Táxi Aéreo
1,Manchurian Air Lines
2,Mandala Airlines
1,Mango Airlines
1,Mannin Airways
1,Manunggal Air
3,MAP
1,MAP - Ministerstvo Aviatsionnoi Promyshlennosti
1,Marco Zero Air Taxi
3,Maritime Central Airways
1,MarkAir Commuter
1,MaRoberston-Miller Airlines
1,MaRobertson Miller Airlines
1,MaRobertson-Miller Airlines
1,Marsland Aviation
2,Martinair Holland NV
1,Maryland State Police
1,MATS - Manila Aero Transport System
1,Mavrik Aire Transport
1,Mayoral Executive Jet
1,McCoy Flying Service - Taxi
1,McKenzie Flying Service - Air Taxi
1,McKinley Air Service - Air Taxi
1,MD Air Services
1,Med Flight Air Ambulance - Private
1,Mercer Airlines
1,Mercury Aviation
2,Merpati Nasantara Airlines
16,Merpati Nusantara Airlines
1,MerriAviation - Air Taxi
1,Metro Air Systems
1,Metro Aviation
1,Metro Cargo
1,Metro Commuter - Air Taxi
1,Mexican Government
11,Mexicana
2,Miami Airlines
5,MIAT - Mongolian Airlines
1,Mid Continent Airlines
1,Mid Island Air - Air Taxi
1,Mid PacifiAir
1,Mid-AtlantiFreight
4,Middle East Airlines
1,Middle East Airlines / Military - Turkish Air ForceC-47
1,Middle States Airlines
1,Midwest Express
1,Mililtary - Royal Canadian Air Force
1,Mililtary - Soviet Air Force
1,Mililtary - U.S. Navy
1,Military - (2) U.S. Army Air Forces
15,Military - Afghan Republican Air Force
1,Military - Algerian Air Force
8,Military - Angolan Air Force
1,Military - Angolan Armed Forces
6,Military - Argentine Air Force
1,Military - Argentine Navy
1,Military - Armée de l'Air Malgache
1,Military - Australian Army Aviation
2,Military - Azerbaijan Air Force
3,Military - Belgian Air Force
2,Military - Bolivian Air Force
10,Military - Brazilian Air Force
1,Military - British Air Ministry
1,Military - Burma Air Force
1,Military - Canadian Air Force
1,Military - Canadian Army
1,Military - Centrafricain Airlines
1,Military - Chadian Air Force
3,Military - Chilean Air Force
2,Military - Chilian Air Force
1,Military - Chilian Navy
5,Military - Chinese Air Force
2,Military - Colombian Air Force
2,Military - Colombian Army
1,Military - Colombian government
2,Military - Congolese Air Force
1,Military - Corrieri Aerei Militari
1,Military - Cuban Air Force
1,Military - Deutsche Luftwaffe
1,Military - Dostum-Galboddin Militia
2,Military - Ecuadorean Air Force
2,Military - Ecuadorian Air Force
4,Military - Egyptian Air Force
1,Military - Ejército del Aire
1,Military - El Salvador Air Force
3,Military - Ethiopian Air Force
1,Military - Federal Nigerian Air Force
1,Military - Finish Air Force
1,Military - Florida Army National Guard
1,Military - Force Aérienne Zaïroise
1,Military - Forces Militaires Françaises
1,Military - Força Aérea Brasileira
1,Military - Força Aérea Portuguesa
9,Military - French Air Force
3,Military - French Naval Aviation
1,Military - French Navy
1,Military - Fuerza Aérea Argentina
1,Military - Fuerza Aérea Colombiana
1,Military - Fuerza Aérea de Chile
1,Military - Fuerza Del Peru
2,Military - Georgian Air Force
1,Military - German Air National Guard
3,Military - German Army
15,Military - German Navy
1,Military - Government of Equatorial Guinea
1,Military - Government of Macedonia
1,Military - Greek Air Force
1,Military - Greek Army
1,Military - Guatemalan Air Force
1,Military - HelleniAir Force
2,Military - Honduran Air Force
3,Military - Imperial Iranian Air Force
16,Military - Indian Air Force
1,Military - Indian Navy
5,Military - Indonesian Air Force
5,Military - Iranian Air Force
2,Military - Iranian Revolutionary Guard Corps Air Force
3,Military - IslamiRepubliof Iran Air Force
1,Military - IslamiRevolution's Guards Corps
2,Military - Israel Air Force
1,Military - Israel Air Force /Military - Israel Air Force
3,Military - Italian Air Force
1,Military - Japan Air Self Defense Force
6,Military - Japan Maritime Self Defense Force
1,Military - Japanese Air Self-Defence Force
1,Military - Kenya Air Force
1,Military - Kenyan Air Force
1,Military - Kuwait Air Force
1,Military - Lao People's Liberation Army Air Force
1,Military - Luftwaffe
1,Military - Luftwaffe / Military - USAF
1,Military - Lybian Arab Air Force
1,Military - Macedonian Air Force
1,Military - Madagascar Air Force
1,Military - Malaysian Air Force
2,Military - Mauritanian Air Force
4,Military - Mexican Air Force
2,Military - Mozambique Air Force
5,Military - Nicaraguan Air Force
1,Military - Niger Air Force
2,Military - Nigerian Air Force
6,Military - Pakistan Air Force
1,Military - People's Army/ Military - Peoples Air Force
1,Military - People's Liberation Army
3,Military - Peruvian Air Force
1,Military - Peruvian Air Force - TANS
1,Military - Peruvian Army Aviation
1,Military - Peruvian Naval Aviation
7,Military - Philippine Air Force
3,Military - Polish Air Force
2,Military - Portuguese Air Force
4,Military - Republiof China Air Force
3,Military - Republiof South Korea Air Force
36,Military - Royal Air Force
1,Military - Royal Airship Works
11,Military - Royal Australian Air Force
2,Military - Royal Belgian Air Force
2,Military - Royal British Navy
6,Military - Royal Canadian Air Force
1,Military - Royal HelleniAir Force
2,Military - Royal Indian Air Force
2,Military - Royal Jordanian Air Force
1,Military - Royal Lao Air Force
1,Military - Royal Lesotho Defence Force
2,Military - Royal Nepalese Air Force
1,Military - Royal Netherlands East Indies Air Force
1,Military - Royal Netherlands Naval Air Service
1,Military - Royal Norwegian Air Force
2,Military - Royal Saudi Air Force
5,Military - Royal Thai Air Force
1,Military - Russian
14,Military - Russian Air Force
1,Military - Russian Air Force / Military - Russian Air Force
1,Military - Russian Air Force/Uzbekistan Airways
1,Military - Russian Army
1,Military - Russian Navy
1,"Military - Russian, cargo"
1,Military - Salvadoran Air Force
1,Military - Salvadorian Air Force
1,Military - Servicio Aereo Nacional
1,Military - Slovak Air Force
3,Military - South African Air Force
9,Military - Soviet Air Force
1,Military - Soviet Navy
2,Military - Spanish Air Force
1,Military - Spanish Air Force.
7,Military - Sri Lanka Air Force
3,Military - Sudan Air Force
1,Military - Sudanese Air Force
1,Military - Taliban Militia
1,Military - Tentara Nasional Indonesia Navy
1,Military - Thai Army
3,Military - Turkish Air Force
1,Military - U. S. Air Force
1,Military - U. S. Navy
176,Military - U.S. Air Force
3,Military - U.S. Air Force / Military - U.S. Air Force
1,Military - U.S. Air Force / Military - U.S. Army
1,Military - U.S. Air Force / Military - U.S. Navy
1,Military - U.S. Air Force / Military U.S. Air Force
2,Military - U.S. Air Force / U.S. Air Force
1,Military - U.S. Air Force/Military - U.S. Air Force
23,Military - U.S. Army
2,Military - U.S. Army / Military - U.S. Army
1,Military - U.S. Army / Military U.S. Army
2,Military - U.S. Army Air Corps
1,Military - U.S. Army Air Force
43,Military - U.S. Army Air Forces
1,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces
1,Military - U.S. Army Air Service
13,Military - U.S. Marine Corps
2,Military - U.S. Marine Corps/Military - U.S. Marine Corps
1,Military - U.S. Marines
36,Military - U.S. Navy
3,Military - U.S. Navy / Military - U.S. Navy
1,Military - U.S. Navy / NASA
1,Military - Ukraine Air Force
1,Military - Unified Yemen Air Force
2,Military - Union of Burma Air Force
1,Military - United States Air Force
2,Military - United States Army Air Force
1,Military - United States Marine Corps
2,Military - United States Navy
1,Military - Uruguayan Air Force
1,Military - US Air Force
1,Military - US Army
2,Military - Venezuelan Air Force
2,Military - Venezuelan Army
2,Military - Venezuelan Navy
5,Military - Vietnamese Air Force
1,Military - Vietnamese Air Force / Military - U.S. Army
1,Military - West German Air Force
3,Military - Zairean Air Force
1,Military - Zambia Air Force
2,Military - Zambian Air Force
1,Military - Zimbabwe Air Force
22,Military -Royal Air Force
1,Military Soviet Air Force - Aeroflot
1,Military U.S. Navy
1,Military U.S. Navy / Military - U.S. Navy
1,Million Air
3,Milne Bay Air
1,Miltiary - U.S. Airforce
1,Mimika Air
1,Mineral County Airlines
1,Minerva Airlines
1,Ministerstvo Obshchestvo Mashinostroyeniya
7,Misrair
3,Missionary Aviation Fellowship
2,MK Airlines
1,MMM Aero Services
4,Mohawk Airlines
1,Moldovan Aeriantur-M Air Cargo
1,Monarch Aviation
1,Mongolian Defense Ministry
1,Monmouth Airways
1,Monument Valle - Air Taxi
1,Moore's Air Charter
1,Morningstar Air Express
1,Morris Hancock Flying Club - Charter
1,Moskovia Airlines
2,Mountain Air Cargo
1,Moyer Aviation - Air Taxi
1,Mt. McKinley Airfreight
2,Munz Northern Airlines
1,Mustang Aviati
1,Mustique Airways
4,Myanmar Airways
1,Nacional de Aviacion
1,Naftogaz
1,Nahanni Air Services
1,Nash and Tampo - Air Taxi
1,Naske Air
1,Nationair (chartered by Nigeria Airways)
1,National Air Operators
9,National Air Transport
1,National Air Transport Services
8,National Airlines
1,National Airways
1,"National Jet Services Inc., (Air Indiana)"
1,National Parks Airways
1,Nationwide Air Transport
1,Naturelink
1,Navegacao Aerea Brasileira
1,Naysa Aerotaxis
1,NC Simpson - Taxi
2,Necon Air
1,New England Airlines
1,New England Airways
1,New England Aviaiton
1,New Standard Airlines
2,New Tribes Mission
3,New York Airways
1,New York Helicopter
5,New Zealand National Airways
1,NewCal Aviation
1,NFD - Nurnberger Flugdienst
1,NHR Táxi-Aéreo
4,Nigeria Airways
1,Nightexpress
1,Nile Delta Air Services
2,Nile Safaris Aviation
1,NLM (Nederlandse Luchtvaart Maatschappij)
2,Nordair
1,Nordchurchaid
1,Nordeste Linhas Aereas
3,Nordeste Linhas Aéreas
1,Norilsk Flight Company
1,Norte Jet Táxi Aéreo
1,North American Sabreliner 40
1,North Bay Charter
1,North Canada Air
1,North Cay Air - Air Taxi
1,North Cay Airways
1,North Central Airlines
1,North Central Airlines / Air Wisconsin
1,North Central Airlines / Private
1,North Coast Aviation
1,North Continental Airlines (Robin Airlines)
1,North East Bolivian Airways
1,North PacifiAirlines
1,North Queensland Airways
1,North Sea Aerial and General Transport
1,North Sound Aviation
1,North Star Air Cargo
1,North Western Air Transport
5,Northeast Airlines
2,Northeast Jet
1,Northern Air (Tanzania)
1,Northern Air Cargo
1,Northern Executive Aviation
1,Northern Illinois Flight Center
1,Northern Thunderbird Air
1,Northern Thunderbird Air Ltd.
1,Northern Wings
1,Northwest Airlines
1,Northwest Airlines/ Northwest Airlines
1,Northwest Airlink
1,Northwest Airways
1,Northwest Moon - Air Taxi
25,Northwest Orient Airlines
2,Norwegian Airlines
1,Nuna Air
1,"NY, Phil., Washington AW"
1,Nyika Safaris
1,Ocean Airlines
1,Oceanaire Helicopter - Air Taxi
1,Oefag Flugdienst
1,Oeste Linhas Aereas
1,Okada Air
1,Okanagan Helicopters
4,OlympiAirways
1,OlympiAviation
1,One-Two-Go Airlines
1,Onzeair
1,Orcon Inc. - Air Taxi
1,Orient Air System and Integrated Services
2,Orient Airways
1,Oriental Airlines
1,Orion - Air Taxi
1,Orlando Airways - Air Taxi
1,Ortner Air Service - Taxi
1,Overseas National Airways
1,Oxaero Ltd.
1,Ozark Air Lines
1,Ozark Air Lines / Private
1,PacifiAir
2,PacifiAir Lines
6,PacifiAir Transport
1,PacifiAirways
1,PacifiAlaska Air Freight
1,PacifiAlaska Airlines
1,PacifiCoast Airlines
3,PacifiCoastal Airlines
1,PacifiNorthern Airlines
1,PacifiOverseas Airways
2,PacifiSouthwest Airlines
1,PacifiSouthwest Airlines / Private
5,PacifiWestern Airlines
1,Page Airways
1,Pakair
1,Pakistan Airways
15,Pakistan International Airlines
1,Palair Macedonian
2,Pan African Air Charter
1,Pan African Airlines
5,Pan American Airways
1,Pan American Airways (Scadta)
2,Pan American Grace Airlines
4,Pan American Grace Airways
41,Pan American World Airways
1,Pan American World Airways / KLM
1,Pan ArctiOil
1,Pan International
1,Pan Malaysian Air Transport
2,Panagra
12,Panair do Brasil
1,Panair do Brazil
1,Panorama Air Tour
1,Papillon Grand Canyon Helicopters of Las Vegas
1,Paradise Air
1,Paradise Airlines
1,Paradise Tour Helicopters
1,Paraense Transportes Aereos
2,Paraense Transportes Aéreos
1,Paramount Airlilnes
1,Parsa
1,Partnair
1,Patagonia Airlines
1,Pathet Lao Airlines
1,Patuxent Airways / Private
1,Paukn Air
1,Paul Kelly Flying Service Inc.
1,Pavair
1,Pel Air
6,Pelita Air Service
2,PenAir
1,PENAS
1,Peninsula Air Services
1,Peninsular
1,Penninsula Airways - Air Taxi
1,Pennsylvania Airlines
4,Pennsylvania Central Airlines
1,Perimeter Airlines
1,Perris Valley Aviation
4,Petroleum Helicopter
1,Petroleum Helicopters Inc
1,Petrolium Helicopter
1,Petrolium Helo Inc.
1,Petroproducción
1,PHI Air Medical
3,Philippine Aerotransport
1,Philippine Air Express
33,Philippine Air Lines
1,Phillips Flying Service - Air Taxi
1,Phoenix Air
1,Phoenix Airlines
1,Phoenix Aviation
1,Pickwick Airways
3,Piedmont Airlines
2,Piedmont Airlines / Private
2,Pilgrim Airlines
1,Pinnacle Airlines/Northwest Airlink
2,Pioneer Airlines
1,Plane Sailing
1,Planemasters
1,PMT Air
1,Points North Air Services
2,Polynesian Airlines
1,Portsmouth Aviation - Air Taxi
1,President Airlines
1,Presidental Airways Inc. - Air Taxi
1,Prestige Airlines (Cargo) Charter
1,Price Aircraft Company
3,Prinair
1,Prior Aviatoin - Air Taxi
1,Priority Air - Air Taxi
1,Priorty Air Charter
31,Private
1,Private - Air Taxi
1,Private - Ashland Oil Company
1,Private - Boeing Aircraft Company
1,Private - Corporate
1,Private - Daewoo Shipbuilding
1,Private - de Havilland Aircraft
1,Private - Facilities Management Co.
1,Private - Hendrick Motorsports Inc.
1,Private - Kabanov - skydiving
1,Private - Mainline Aviation
1,Private - Omniflight Helicopters
1,Private - OverteCompany
1,Private - Parajump air show
1,Private - Purdue Reasearch Foundation
1,Private - Techint group
1,Private - WNBC
1,Private air taxi
4,Private Charter
1,Private KNBC Los Angeles
1,Private Wings
1,Procuradoria General de la Republica
1,Procuraduría General de la República
1,Procurator Generale de la Republica
1,Professional Aviation Services
1,Propair
1,Prospec
1,Proteus Air / Private
2,Provincetown - Boston Airlines
1,Provincial Air Services
1,Provincial Airlines
1,PT Air Regional
1,Ptarmigan Airways
1,Pudget Sound Air - Air Taxi
1,Pulkovo Airlines
1,Pulkovo Aviation Enterprise
1,Purdue Airlines Inc.
13,Qantas
1,Quakertown Aviation - Air Taxi
2,Quebecair
1,Queen Airmotive - Air Taxi
2,Queen Charlotte Airlines
2,Queensland Airlines
1,Radeair
1,RAM
1,Rambar Aviation - Air Taxi
2,Rapid Air Transport
1,Ray A. Gardner - Taxi
1,Raytheon Aircraft
1,RCMP-GRC Air Services
8,REAL
1,REAL / Military - U.S. Navy
1,Reali Taxi Aereo
1,Red Aircraft Service - Air Taxi
1,Red Bank Air Taxi
1,Red Carpet Flying Service - Air Taxi
1,Reed Aviation - Air Taxi
1,Reeder Flying Service
1,Reeve Aleutian Airlines
1,Regency Express Air
2,Regina Cargo Airlines
1,Regional Airlines
1,Regional Compagnie Aerienne Europeenne
1,Regionnair
1,Renan Airways
1,RepubliAirlines
1,Resort Air Service - Air Taxi
1,Resort Airlines
1,Revilla Flying Service - Air Taxi
1,Reynolds Airways
1,Rhoadgs Aviation - Air Taxi
1,Richland Aviation - Taxi
1,Richland Flying Service - Air Taxii
1,Richmor Aviation
1,Rico Linhas Aereas
1,Rico Taxi Aero
1,Rico Taxi Aéreo
2,Riddle Airlines
1,Rijnmond Air Services
1,Rimouski Airlines
1,Rinaldo Piaggio
1,Riverside Air
1,Roadrunner Airlines
1,Robinson Airlines
1,Rocky Mountain Airways
1,Romanian Banat Air
1,Ross Aviation - Air Taxi
1,Rotor Airs In- Air Taxi
1,Rotorcraft Leasing Co
1,Rousseau Aviaiton
2,Royal Air Lao
2,Royal Air Maroc
1,Royal American - Air Taxi
8,Royal Nepal Airlines
1,RRC Air Service
1,Rubner Flying Service
1,Ruiban & Duran Compania Aérea
1,Russ Air Transport Company
1,Rusts Flying Service Inc.
1,Rutaca
1,Rutaca Airlines
1,Rutas Aéreas Nacionales SA
1,Rutas Internacionales Peruanes
1,Rwanda Government
2,Ryan Air Services
1,Ryan Blake Air Charter
1,Ryan International Airlines
1,Réseau Aérien Interinsulaire
1,SA Amazonica
2,Sabah Air
2,Sabang Merauke Raya Air Charter
24,Sabena
1,Sabeni
1,SADELCA
1,Sadia
1,SAESA
4,SAETA
1,Safe Air Cargo
1,Safe Air Complany
1,Safeway Airways
2,Saha Airline Services
1,Sahara
3,Sahsa Airlines
1,Saint Lawrence Airways
2,Sakha Airlines
2,Salair
1,Salida Flying Service - Air Taxi
1,Salmon Air - Air Taxi
2,SAM Colombia
1,SAMSA
1,SAN Ecuador
1,San Juan Air
1,Sankuru Air Service
3,SANSA
1,Santa Barbara Airlines
1,Sarit Airlines
2,Sasco Air Lines
1,Saskatchewan Government Northern Air Operations
2,SATA
2,SATCO
11,SATENA
2,Saturn Airways
6,Saudi Arabian Airlines
1,Saudi Arabian Airlines / Kazastan Airlines
1,Saudi Arabian Royal Flight
2,Savanair
1,Savannair
2,SAVCO
1,SAVIARE S.A. - Air Taxi
2,SCADTA
6,Scandinavian Airlines (SAS)
1,Scandinavian Airlines (SAS) / Private
1,Scanex Air
1,SceniAir Lines
3,SceniAir Tours
1,SceniAirline - Air Taxi
2,SceniAirlines
2,Scibe Airlift Cargo Zaire
3,Scottish Airlines
1,Sea Airmotive
1,Seattle Air Charter
1,Seaview Aviation
1,SeaWind Aviation
1,Security Air
3,SELVA
1,SELVA Colombia
1,Selva Taxi Aero
1,SEMAF
1,Sempati Air
1,Senegalair
1,Servant Air
2,Service Air
1,Servicio Aereo Columbiano / SCADTA
1,Servicio Aereo Manchupo
1,Servicio Aéreo Panini
1,Servicio Expresso Nacional
1,Servicios Aereas Virgen de Copacabana
1,Servicios Aereos Martinez Leon
1,Servicios Aereos Nacionales
1,Servicios Aereos Nacionales Airways
1,Servicios Aereos Santa Ana
1,Servicios Aeronauticos Sucre (SASCA)
1,Servicios Americanos
1,Servicios Aéreos Boliviano
1,Servicios Aéreos Especiales
2,Servivensa
1,Seventy Airways - Air Taxi
1,SFC Vietnam - Charter - Full Account
1,Shanair Inc. - Air Taxi
1,Shangri La Air
1,Shanxi Airlines
1,Shell Co of Ecuador
1,Shelter Cove Sea Park
1,Si Fly - U.N. charter
1,Siamese Airways
1,Sibir (S7)
2,Sibir Airlines
1,Sierra PacifiAirlines
1,SilkAir
1,Silver City Airways
1,Simmons Airlines
1,Simpson Air Service - Air Taxi
2,Singapore Airlines
1,Sinquanon Management - Air Taxi
1,Skagway Air Service - Air Taxi
1,Skips Air Service - Air Taxi
1,Sky Cabs
1,Sky Chopper - Air Taxi
1,Sky Executive Air Services
1,Sky Haven - Air Taxi
1,Sky Train Air
1,Skycraft Air Transport
1,Skydive Salt Lake - Charter
2,Skyline Airways
1,Skyline Aviation - Air Taxi
1,Skyline Sweden
1,Skyline Transportation Company
1,Skylink Airlines
2,Skypower Express Airways
1,Skystream Airlines
1,Skyvan Airways
1,Skyward Aviation
1,Skyway Air - Taxi
1,Skyways
2,Skyways of London
1,Skywest Airlines / Private.
1,Skyworld Airlines (Ports of Call Inc.)
1,SL Aviation Services
6,Slick Airways
1,Slick Airways - Cargo
1,Smithers Air Service
1,Smyer Aircraft - Air Taxi
1,Snow Valley Ski Lines
2,Sobelair SA (Belgium)
1,Soc. de Tr. Aériens d'Extrême Orient
2,Sociedad Aeronautica Medellin
1,Sociedade de Aviacao Ligeira Charter
1,Societ? Aerea Teseo
1,Societa Aerea Mediterranea
1,Societe Aerienne du Littoral
1,Societe Alpes Provence
1,Societe France Hydro
1,Societe Indochinoise de Raviteillement
1,Societe Indochinoise de Transport Aeriens
1,Societe Transatlantique Aerienne
1,Société Auxiliare de Navigation Aérienne
1,Société Aérienne de Tr. Tropicaux
1,Société de Transports Aériens
1,Socotra
1,Soldotna Air Services
2,Solomon Islands Airlines
3,Somali Airlines
1,SoniBlue Airways
1,Sosoliso Airlines
1,Soundsair
6,South African Airways
1,South Central Airlines
2,South PacifiIsland Airways
2,Southcentral Air
1,Southeast Airlines
1,Southeast Sky - Air Taxi
1,Southeast Skyways - Air Taxi
1,Southern Air Transport
2,Southern Airways
1,Southern Cross Airways
1,Southern Express
1,Southern Jersey Air - Air Taxi
1,Southern Sudan Air Connection
1,Southwest Air
1,Southwest Airlift
2,Southwest Airlines
1,Southwest Airways
1,Southwest Aviation - Air Taxi
1,Southwest Medivac
1,Sowind Air
1,Spair Air Transport
1,Spanair
1,Spanish Air Force
6,Spantax
1,Spartan Air Services
1,Speed Service Couriers
1,Spencer Airways / Ceskoslovenske Aerolinie
1,Spernak Airway - Air Taxi
